db traj id : 3178
frame,reward,score,terminal, action
189,0, 0, False, 0
190,0, 0, False, 0
191,0, 0, False, 0
192,0, 0, False, 0
193,0, 0, False, 0
194,0, 0, False, 0
195,0, 0, False, 0
196,0, 0, False, 0
197,0, 0, False, 0
198,0, 0, False, 0
199,0, 0, False, 0
200,0, 0, False, 0
201,0, 0, False, 0
202,0, 0, False, 0
203,0, 0, False, 0
204,0, 0, False, 0
205,0, 0, False, 0
206,0, 0, False, 0
207,0, 0, False, 0
208,0, 0, False, 0
209,0, 0, False, 0
210,0, 0, False, 0
211,0, 0, False, 0
212,0, 0, False, 0
213,0, 0, False, 0
214,0, 0, False, 0
215,0, 0, False, 0
216,0, 0, False, 0
217,0, 0, False, 0
218,0, 0, False, 0
219,0, 0, False, 0
220,0, 0, False, 0
221,0, 0, False, 0
222,0, 0, False, 0
223,0, 0, False, 0
224,0, 0, False, 0
225,0, 0, False, 0
226,0, 0, False, 0
227,0, 0, False, 0
228,0, 0, False, 0
229,0, 0, False, 0
230,0, 0, False, 0
231,0, 0, False, 0
232,0, 0, False, 0
233,0, 0, False, 0
234,0, 0, False, 0
235,0, 0, False, 0
236,0, 0, False, 0
237,0, 0, False, 0
238,0, 0, False, 0
239,0, 0, False, 0
240,0, 0, False, 0
241,0, 0, False, 0
242,0, 0, False, 0
243,0, 0, False, 0
244,0, 0, False, 0
245,0, 0, False, 0
246,0, 0, False, 0
247,0, 0, False, 0
248,0, 0, False, 0
249,0, 0, False, 0
250,0, 0, False, 0
251,0, 0, False, 0
252,0, 0, False, 0
253,0, 0, False, 0
254,0, 0, False, 0
255,0, 0, False, 0
256,0, 0, False, 0
257,0, 0, False, 0
258,0, 0, False, 0
259,0, 0, False, 0
260,0, 0, False, 0
261,0, 0, False, 0
262,0, 0, False, 0
263,0, 0, False, 0
264,0, 0, False, 0
265,0, 0, False, 0
266,0, 0, False, 0
267,0, 0, False, 0
268,0, 0, False, 0
269,0, 0, False, 0
270,0, 0, False, 0
271,0, 0, False, 0
272,0, 0, False, 0
273,0, 0, False, 0
274,0, 0, False, 0
275,0, 0, False, 0
276,0, 0, False, 0
277,0, 0, False, 0
278,0, 0, False, 0
279,0, 0, False, 0
280,0, 0, False, 0
281,0, 0, False, 0
282,0, 0, False, 0
283,0, 0, False, 0
284,0, 0, False, 0
285,0, 0, False, 0
286,0, 0, False, 0
287,0, 0, False, 0
288,0, 0, False, 0
289,0, 0, False, 0
290,0, 0, False, 0
291,0, 0, False, 0
292,0, 0, False, 0
293,0, 0, False, 0
294,0, 0, False, 0
295,0, 0, False, 0
296,0, 0, False, 0
297,0, 0, False, 0
298,0, 0, False, 0
299,0, 0, False, 0
300,0, 0, False, 0
301,0, 0, False, 0
302,0, 0, False, 0
303,0, 0, False, 0
304,0, 0, False, 0
305,0, 0, False, 0
306,0, 0, False, 0
307,0, 0, False, 0
308,0, 0, False, 0
309,0, 0, False, 0
310,0, 0, False, 0
311,0, 0, False, 0
312,0, 0, False, 0
313,0, 0, False, 0
314,0, 0, False, 0
315,0, 0, False, 0
316,0, 0, False, 0
317,0, 0, False, 0
318,0, 0, False, 0
319,0, 0, False, 0
320,0, 0, False, 0
321,0, 0, False, 0
322,0, 0, False, 0
323,0, 0, False, 0
324,0, 0, False, 0
325,0, 0, False, 0
326,0, 0, False, 0
327,0, 0, False, 0
328,0, 0, False, 0
329,0, 0, False, 0
330,0, 0, False, 0
331,0, 0, False, 0
332,0, 0, False, 0
333,0, 0, False, 0
334,0, 0, False, 0
335,0, 0, False, 0
336,0, 0, False, 0
337,0, 0, False, 0
338,0, 0, False, 0
339,0, 0, False, 0
340,0, 0, False, 0
341,0, 0, False, 0
342,0, 0, False, 0
343,0, 0, False, 0
344,0, 0, False, 0
345,0, 0, False, 0
346,0, 0, False, 0
347,0, 0, False, 0
348,0, 0, False, 0
349,0, 0, False, 0
350,0, 0, False, 0
351,0, 0, False, 0
352,0, 0, False, 0
353,0, 0, False, 0
354,0, 0, False, 0
355,0, 0, False, 0
356,0, 0, False, 0
357,0, 0, False, 0
358,0, 0, False, 0
359,0, 0, False, 0
360,0, 0, False, 0
361,0, 0, False, 0
362,0, 0, False, 0
363,0, 0, False, 0
364,0, 0, False, 0
365,0, 0, False, 0
366,0, 0, False, 0
367,0, 0, False, 0
368,0, 0, False, 0
369,0, 0, False, 0
370,0, 0, False, 0
371,0, 0, False, 0
372,0, 0, False, 0
373,0, 0, False, 0
374,0, 0, False, 0
375,0, 0, False, 0
376,0, 0, False, 0
377,0, 0, False, 0
378,0, 0, False, 0
379,0, 0, False, 0
380,0, 0, False, 0
381,0, 0, False, 0
382,0, 0, False, 0
383,0, 0, False, 0
384,0, 0, False, 0
385,0, 0, False, 0
386,0, 0, False, 0
387,0, 0, False, 0
388,0, 0, False, 0
389,0, 0, False, 0
390,0, 0, False, 0
391,0, 0, False, 0
392,0, 0, False, 0
393,0, 0, False, 0
394,0, 0, False, 0
395,0, 0, False, 0
396,0, 0, False, 0
397,0, 0, False, 0
398,0, 0, False, 0
399,0, 0, False, 0
400,0, 0, False, 0
401,0, 0, False, 0
402,0, 0, False, 0
403,0, 0, False, 0
404,0, 0, False, 0
405,0, 0, False, 0
406,0, 0, False, 0
407,0, 0, False, 0
408,0, 0, False, 0
409,0, 0, False, 0
410,0, 0, False, 0
411,0, 0, False, 0
412,0, 0, False, 0
413,0, 0, False, 0
414,0, 0, False, 0
415,0, 0, False, 0
416,0, 0, False, 0
417,0, 0, False, 0
418,0, 0, False, 0
419,0, 0, False, 0
420,0, 0, False, 0
421,0, 0, False, 0
422,0, 0, False, 0
423,0, 0, False, 0
424,0, 0, False, 0
425,0, 0, False, 0
426,0, 0, False, 0
427,0, 0, False, 0
428,0, 0, False, 0
429,0, 0, False, 0
430,0, 0, False, 0
431,0, 0, False, 0
432,0, 0, False, 0
433,0, 0, False, 0
434,0, 0, False, 0
435,0, 0, False, 0
436,0, 0, False, 0
437,0, 0, False, 0
438,0, 0, False, 0
439,0, 0, False, 0
440,0, 0, False, 0
441,0, 0, False, 0
442,0, 0, False, 0
443,0, 0, False, 0
444,0, 0, False, 0
445,0, 0, False, 0
446,0, 0, False, 0
447,0, 0, False, 0
448,0, 0, False, 0
449,0, 0, False, 0
450,0, 0, False, 0
451,0, 0, False, 0
452,0, 0, False, 0
453,0, 0, False, 0
454,0, 0, False, 0
455,0, 0, False, 0
456,0, 0, False, 0
457,0, 0, False, 0
458,0, 0, False, 0
459,0, 0, False, 0
460,0, 0, False, 0
461,0, 0, False, 0
462,0, 0, False, 0
463,0, 0, False, 0
464,0, 0, False, 0
465,0, 0, False, 0
466,0, 0, False, 0
467,0, 0, False, 0
468,0, 0, False, 0
469,0, 0, False, 0
470,0, 0, False, 0
471,0, 0, False, 0
472,0, 0, False, 0
473,0, 0, False, 0
474,0, 0, False, 0
475,0, 0, False, 0
476,0, 0, False, 0
477,0, 0, False, 0
478,0, 0, False, 0
479,0, 0, False, 0
480,0, 0, False, 0
481,0, 0, False, 0
482,0, 0, False, 0
483,0, 0, False, 0
484,0, 0, False, 0
485,0, 0, False, 0
486,0, 0, False, 0
487,0, 0, False, 0
488,0, 0, False, 0
489,0, 0, False, 0
490,0, 0, False, 0
491,0, 0, False, 0
492,0, 0, False, 0
493,0, 0, False, 0
494,0, 0, False, 0
495,0, 0, False, 0
496,0, 0, False, 0
497,0, 0, False, 0
498,0, 0, False, 0
499,0, 0, False, 0
500,0, 0, False, 0
501,0, 0, False, 0
502,0, 0, False, 0
503,0, 0, False, 0
504,0, 0, False, 0
505,0, 0, False, 0
506,0, 0, False, 0
507,0, 0, False, 0
508,0, 0, False, 0
509,0, 0, False, 0
510,0, 0, False, 0
511,0, 0, False, 0
512,0, 0, False, 0
513,0, 0, False, 0
514,0, 0, False, 0
515,0, 0, False, 0
516,0, 0, False, 0
517,0, 0, False, 0
518,0, 0, False, 0
519,0, 0, False, 0
520,0, 0, False, 0
521,0, 0, False, 0
522,0, 0, False, 0
523,0, 0, False, 0
524,0, 0, False, 0
525,0, 0, False, 0
526,0, 0, False, 0
527,0, 0, False, 0
528,0, 0, False, 0
529,0, 0, False, 0
530,0, 0, False, 0
531,0, 0, False, 0
532,0, 0, False, 0
533,0, 0, False, 0
534,0, 0, False, 0
535,0, 0, False, 0
536,0, 0, False, 0
537,0, 0, False, 0
538,0, 0, False, 0
539,0, 0, False, 0
540,0, 0, False, 0
541,0, 0, False, 0
542,0, 0, False, 0
543,0, 0, False, 0
544,0, 0, False, 0
545,0, 0, False, 0
546,0, 0, False, 0
547,0, 0, False, 0
548,0, 0, False, 0
549,0, 0, False, 0
550,0, 0, False, 0
551,0, 0, False, 0
552,0, 0, False, 0
553,0, 0, False, 0
554,0, 0, False, 0
555,0, 0, False, 0
556,0, 0, False, 0
557,0, 0, False, 0
558,0, 0, False, 0
559,0, 0, False, 0
560,0, 0, False, 0
561,0, 0, False, 0
562,0, 0, False, 0
563,0, 0, False, 0
564,0, 0, False, 0
565,0, 0, False, 0
566,0, 0, False, 0
567,0, 0, False, 0
568,0, 0, False, 0
569,0, 0, False, 0
570,0, 0, False, 0
571,0, 0, False, 0
572,0, 0, False, 0
573,0, 0, False, 0
574,0, 0, False, 0
575,0, 0, False, 0
576,0, 0, False, 0
577,0, 0, False, 0
578,0, 0, False, 0
579,0, 0, False, 0
580,0, 0, False, 0
581,0, 0, False, 0
582,0, 0, False, 0
583,0, 0, False, 0
584,0, 0, False, 0
585,0, 0, False, 0
586,0, 0, False, 0
587,0, 0, False, 0
588,0, 0, False, 0
589,0, 0, False, 0
590,0, 0, False, 0
591,0, 0, False, 0
592,0, 0, False, 0
593,0, 0, False, 0
594,0, 0, False, 0
595,0, 0, False, 0
596,0, 0, False, 0
597,0, 0, False, 0
598,0, 0, False, 0
599,0, 0, False, 0
600,0, 0, False, 0
601,0, 0, False, 0
602,0, 0, False, 0
603,0, 0, False, 0
604,0, 0, False, 0
605,0, 0, False, 0
606,0, 0, False, 0
607,0, 0, False, 0
608,0, 0, False, 0
609,0, 0, False, 0
610,0, 0, False, 0
611,0, 0, False, 0
612,0, 0, False, 0
613,0, 0, False, 0
614,0, 0, False, 0
615,0, 0, False, 0
616,0, 0, False, 0
617,0, 0, False, 0
618,0, 0, False, 0
619,0, 0, False, 0
620,0, 0, False, 0
621,0, 0, False, 0
622,0, 0, False, 0
623,0, 0, False, 0
624,0, 0, False, 0
625,0, 0, False, 0
626,0, 0, False, 0
627,0, 0, False, 0
628,0, 0, False, 0
629,0, 0, False, 0
630,0, 0, False, 0
631,0, 0, False, 0
632,0, 0, False, 0
633,0, 0, False, 0
634,0, 0, False, 0
635,0, 0, False, 0
636,0, 0, False, 0
637,0, 0, False, 0
638,0, 0, False, 0
639,0, 0, False, 0
640,0, 0, False, 0
641,0, 0, False, 0
642,0, 0, False, 0
643,0, 0, False, 0
644,0, 0, False, 0
645,0, 0, False, 0
646,0, 0, False, 0
647,0, 0, False, 0
648,0, 0, False, 0
649,0, 0, False, 0
650,0, 0, False, 0
651,0, 0, False, 0
652,0, 0, False, 0
653,0, 0, False, 0
654,0, 0, False, 0
655,0, 0, False, 0
656,0, 0, False, 0
657,0, 0, False, 0
658,0, 0, False, 0
659,0, 0, False, 0
660,0, 0, False, 0
661,0, 0, False, 0
662,0, 0, False, 0
663,0, 0, False, 0
664,0, 0, False, 0
665,0, 0, False, 0
666,0, 0, False, 0
667,0, 0, False, 0
668,0, 0, False, 0
669,0, 0, False, 0
670,0, 0, False, 0
671,0, 0, False, 0
672,0, 0, False, 0
673,0, 0, False, 0
674,0, 0, False, 0
675,0, 0, False, 0
676,0, 0, False, 0
677,0, 0, False, 0
678,0, 0, False, 0
679,0, 0, False, 0
680,0, 0, False, 0
681,0, 0, False, 0
682,0, 0, False, 0
683,0, 0, False, 0
684,0, 0, False, 0
685,0, 0, False, 0
686,0, 0, False, 0
687,0, 0, False, 0
688,0, 0, False, 0
689,0, 0, False, 0
690,0, 0, False, 0
691,0, 0, False, 0
692,0, 0, False, 0
693,0, 0, False, 0
694,0, 0, False, 0
695,0, 0, False, 0
696,0, 0, False, 0
697,0, 0, False, 0
698,0, 0, False, 0
699,0, 0, False, 0
700,0, 0, False, 0
701,0, 0, False, 0
702,0, 0, False, 0
703,0, 0, False, 0
704,0, 0, False, 0
705,0, 0, False, 0
706,0, 0, False, 0
707,0, 0, False, 0
708,0, 0, False, 0
709,0, 0, False, 0
710,0, 0, False, 0
711,0, 0, False, 0
712,0, 0, False, 0
713,0, 0, False, 0
714,0, 0, False, 0
715,0, 0, False, 0
716,0, 0, False, 0
717,0, 0, False, 0
718,0, 0, False, 0
719,0, 0, False, 0
720,0, 0, False, 0
721,0, 0, False, 0
722,0, 0, False, 0
723,0, 0, False, 0
724,0, 0, False, 0
725,0, 0, False, 0
726,0, 0, False, 0
727,0, 0, False, 0
728,0, 0, False, 0
729,0, 0, False, 0
730,0, 0, False, 0
731,0, 0, False, 0
732,0, 0, False, 0
733,0, 0, False, 0
734,0, 0, False, 0
735,0, 0, False, 0
736,0, 0, False, 0
737,0, 0, False, 0
738,0, 0, False, 0
739,0, 0, False, 0
740,0, 0, False, 0
741,0, 0, False, 0
742,0, 0, False, 0
743,0, 0, False, 0
744,0, 0, False, 0
745,0, 0, False, 0
746,0, 0, False, 0
747,0, 0, False, 0
748,0, 0, False, 0
749,0, 0, False, 0
750,0, 0, False, 0
751,0, 0, False, 0
752,0, 0, False, 0
753,0, 0, False, 0
754,0, 0, False, 0
755,0, 0, False, 0
756,0, 0, False, 0
757,0, 0, False, 0
758,0, 0, False, 0
759,0, 0, False, 0
760,0, 0, False, 0
761,0, 0, False, 0
762,0, 0, False, 0
763,0, 0, False, 0
764,0, 0, False, 0
765,0, 0, False, 0
766,0, 0, False, 0
767,0, 0, False, 0
768,0, 0, False, 0
769,0, 0, False, 0
770,0, 0, False, 0
771,0, 0, False, 0
772,0, 0, False, 0
773,0, 0, False, 0
774,0, 0, False, 0
775,0, 0, False, 0
776,0, 0, False, 0
777,0, 0, False, 0
778,0, 0, False, 0
779,0, 0, False, 0
780,0, 0, False, 0
781,0, 0, False, 0
782,0, 0, False, 0
783,0, 0, False, 0
784,0, 0, False, 0
785,0, 0, False, 0
786,0, 0, False, 0
787,0, 0, False, 0
788,0, 0, False, 0
789,0, 0, False, 0
790,0, 0, False, 0
791,0, 0, False, 0
792,0, 0, False, 0
793,0, 0, False, 0
794,0, 0, False, 0
795,0, 0, False, 0
796,0, 0, False, 0
797,0, 0, False, 0
798,0, 0, False, 0
799,0, 0, False, 0
800,0, 0, False, 0
801,0, 0, False, 0
802,0, 0, False, 0
803,0, 0, False, 0
804,0, 0, False, 0
805,0, 0, False, 0
806,0, 0, False, 0
807,0, 0, False, 0
808,0, 0, False, 0
809,0, 0, False, 0
810,0, 0, False, 0
811,0, 0, False, 0
812,0, 0, False, 0
813,0, 0, False, 0
814,0, 0, False, 0
815,0, 0, False, 0
816,0, 0, False, 0
817,0, 0, False, 0
818,0, 0, False, 0
819,0, 0, False, 0
820,0, 0, False, 0
821,0, 0, False, 0
822,0, 0, False, 0
823,0, 0, False, 0
824,0, 0, False, 0
825,0, 0, False, 0
826,0, 0, False, 0
827,0, 0, False, 0
828,0, 0, False, 0
829,0, 0, False, 0
830,0, 0, False, 0
831,0, 0, False, 3
832,0, 0, False, 3
833,0, 0, False, 3
834,0, 0, False, 3
835,0, 0, False, 3
836,0, 0, False, 3
837,0, 0, False, 3
838,0, 0, False, 0
839,0, 0, False, 0
840,0, 0, False, 0
841,0, 0, False, 0
842,0, 0, False, 0
843,0, 0, False, 0
844,0, 0, False, 3
845,0, 0, False, 3
846,0, 0, False, 3
847,0, 0, False, 3
848,0, 0, False, 3
849,0, 0, False, 3
850,0, 0, False, 0
851,0, 0, False, 0
852,0, 0, False, 0
853,0, 0, False, 3
854,0, 0, False, 3
855,0, 0, False, 3
856,0, 0, False, 3
857,0, 0, False, 3
858,0, 0, False, 3
859,0, 0, False, 3
860,0, 0, False, 0
861,0, 0, False, 0
862,0, 0, False, 0
863,0, 0, False, 0
864,0, 0, False, 3
865,0, 0, False, 3
866,0, 0, False, 3
867,0, 0, False, 3
868,0, 0, False, 3
869,0, 0, False, 3
870,0, 0, False, 0
871,0, 0, False, 0
872,0, 0, False, 0
873,0, 0, False, 0
874,0, 0, False, 0
875,0, 0, False, 3
876,0, 0, False, 3
877,0, 0, False, 3
878,0, 0, False, 3
879,0, 0, False, 0
880,0, 0, False, 0
881,0, 0, False, 0
882,0, 0, False, 0
883,0, 0, False, 0
884,0, 0, False, 0
885,0, 0, False, 0
886,0, 0, False, 0
887,0, 0, False, 0
888,0, 0, False, 0
889,0, 0, False, 0
890,0, 0, False, 0
891,0, 0, False, 0
892,0, 0, False, 0
893,0, 0, False, 0
894,0, 0, False, 0
895,0, 0, False, 0
896,0, 0, False, 0
897,0, 0, False, 0
898,0, 0, False, 0
899,0, 0, False, 0
900,0, 0, False, 0
901,0, 0, False, 0
902,0, 0, False, 0
903,0, 0, False, 0
904,0, 0, False, 0
905,0, 0, False, 0
906,0, 0, False, 0
907,0, 0, False, 0
908,0, 0, False, 0
909,0, 0, False, 0
910,0, 0, False, 0
911,0, 0, False, 0
912,0, 0, False, 0
913,0, 0, False, 0
914,0, 0, False, 0
915,0, 0, False, 0
916,0, 0, False, 0
917,0, 0, False, 0
918,0, 0, False, 0
919,0, 0, False, 0
920,0, 0, False, 0
921,0, 0, False, 0
922,0, 0, False, 0
923,0, 0, False, 0
924,0, 0, False, 0
925,0, 0, False, 0
926,0, 0, False, 0
927,0, 0, False, 0
928,0, 0, False, 0
929,0, 0, False, 0
930,0, 0, False, 0
931,0, 0, False, 0
932,0, 0, False, 0
933,0, 0, False, 0
934,0, 0, False, 0
935,0, 0, False, 0
936,0, 0, False, 0
937,0, 0, False, 0
938,0, 0, False, 0
939,0, 0, False, 0
940,0, 0, False, 0
941,0, 0, False, 0
942,0, 0, False, 0
943,0, 0, False, 0
944,0, 0, False, 0
945,0, 0, False, 0
946,0, 0, False, 0
947,0, 0, False, 0
948,0, 0, False, 0
949,0, 0, False, 0
950,0, 0, False, 0
951,0, 0, False, 0
952,0, 0, False, 0
953,0, 0, False, 0
954,0, 0, False, 0
955,0, 0, False, 0
956,0, 0, False, 0
957,0, 0, False, 0
958,0, 0, False, 0
959,0, 0, False, 0
960,0, 0, False, 0
961,0, 0, False, 0
962,0, 0, False, 0
963,0, 0, False, 0
964,0, 0, False, 0
965,0, 0, False, 0
966,0, 0, False, 0
967,0, 0, False, 0
968,0, 0, False, 0
969,0, 0, False, 0
970,0, 0, False, 0
971,0, 0, False, 0
972,0, 0, False, 0
973,0, 0, False, 0
974,0, 0, False, 0
975,0, 0, False, 0
976,0, 0, False, 0
977,0, 0, False, 0
978,0, 0, False, 0
979,0, 0, False, 0
980,0, 0, False, 0
981,0, 0, False, 0
982,0, 0, False, 0
983,0, 0, False, 0
984,0, 0, False, 0
985,0, 0, False, 0
986,0, 0, False, 0
987,0, 0, False, 0
988,0, 0, False, 0
989,0, 0, False, 0
990,0, 0, False, 0
991,0, 0, False, 0
992,0, 0, False, 0
993,0, 0, False, 0
994,0, 0, False, 0
995,0, 0, False, 0
996,0, 0, False, 0
997,0, 0, False, 0
998,0, 0, False, 0
999,0, 0, False, 0
1000,0, 0, False, 0
1001,0, 0, False, 0
1002,0, 0, False, 0
1003,0, 0, False, 0
1004,0, 0, False, 0
1005,0, 0, False, 0
1006,0, 0, False, 0
1007,0, 0, False, 0
1008,0, 0, False, 0
1009,0, 0, False, 0
1010,0, 0, False, 0
1011,0, 0, False, 0
1012,0, 0, False, 0
1013,0, 0, False, 0
1014,0, 0, False, 0
1015,0, 0, False, 0
1016,0, 0, False, 0
1017,0, 0, False, 0
1018,0, 0, False, 0
1019,0, 0, False, 0
1020,0, 0, False, 0
1021,0, 0, False, 0
1022,0, 0, False, 0
1023,0, 0, False, 0
1024,0, 0, False, 0
1025,0, 0, False, 0
1026,0, 0, False, 0
1027,0, 0, False, 0
1028,0, 0, False, 0
1029,0, 0, False, 0
1030,0, 0, False, 0
1031,0, 0, False, 0
1032,0, 0, False, 0
1033,0, 0, False, 0
1034,0, 0, False, 0
1035,0, 0, False, 3
1036,0, 0, False, 3
1037,0, 0, False, 3
1038,0, 0, False, 3
1039,0, 0, False, 3
1040,0, 0, False, 3
1041,0, 0, False, 0
1042,0, 0, False, 0
1043,0, 0, False, 0
1044,0, 0, False, 0
1045,0, 0, False, 0
1046,0, 0, False, 0
1047,0, 0, False, 3
1048,0, 0, False, 3
1049,0, 0, False, 3
1050,0, 0, False, 3
1051,0, 0, False, 0
1052,0, 0, False, 0
1053,0, 0, False, 0
1054,0, 0, False, 0
1055,0, 0, False, 0
1056,0, 0, False, 0
1057,0, 0, False, 3
1058,0, 0, False, 3
1059,0, 0, False, 3
1060,0, 0, False, 3
1061,0, 0, False, 3
1062,0, 0, False, 0
1063,0, 0, False, 0
1064,0, 0, False, 0
1065,0, 0, False, 0
1066,0, 0, False, 0
1067,0, 0, False, 0
1068,0, 0, False, 3
1069,0, 0, False, 3
1070,0, 0, False, 3
1071,0, 0, False, 0
1072,0, 0, False, 0
1073,0, 0, False, 0
1074,0, 0, False, 0
1075,0, 0, False, 0
1076,0, 0, False, 3
1077,0, 0, False, 3
1078,0, 0, False, 3
1079,0, 0, False, 3
1080,0, 0, False, 3
1081,0, 0, False, 0
1082,0, 0, False, 3
1083,0, 0, False, 3
1084,0, 0, False, 3
1085,0, 0, False, 3
1086,0, 0, False, 3
1087,0, 0, False, 3
1088,0, 0, False, 3
1089,0, 0, False, 3
1090,0, 0, False, 3
1091,0, 0, False, 3
1092,0, 0, False, 3
1093,0, 0, False, 3
1094,0, 0, False, 3
1095,0, 0, False, 3
1096,0, 0, False, 3
1097,0, 0, False, 3
1098,0, 0, False, 3
1099,0, 0, False, 3
1100,0, 0, False, 3
1101,0, 0, False, 3
1102,0, 0, False, 3
1103,0, 0, False, 3
1104,0, 0, False, 3
1105,0, 0, False, 3
1106,0, 0, False, 3
1107,0, 0, False, 3
1108,0, 0, False, 3
1109,0, 0, False, 3
1110,0, 0, False, 3
1111,0, 0, False, 0
1112,0, 0, False, 0
1113,0, 0, False, 0
1114,0, 0, False, 0
1115,0, 0, False, 0
1116,0, 0, False, 0
1117,0, 0, False, 0
1118,0, 0, False, 1
1119,0, 0, False, 1
1120,0, 0, False, 1
1121,0, 0, False, 1
1122,0, 0, False, 1
1123,0, 0, False, 1
1124,0, 0, False, 1
1125,0, 0, False, 1
1126,0, 0, False, 0
1127,0, 0, False, 0
1128,0, 0, False, 0
1129,0, 0, False, 0
1130,0, 0, False, 0
1131,0, 0, False, 0
1132,0, 0, False, 0
1133,0, 0, False, 0
1134,0, 0, False, 0
1135,0, 0, False, 0
1136,0, 0, False, 0
1137,0, 0, False, 0
1138,0, 0, False, 0
1139,0, 0, False, 0
1140,0, 0, False, 0
1141,0, 0, False, 0
1142,0, 0, False, 0
1143,0, 0, False, 0
1144,5, 5, False, 0
1145,0, 5, False, 0
1146,0, 5, False, 0
1147,0, 5, False, 0
1148,0, 5, False, 0
1149,0, 5, False, 0
